bin,risk_set,events,hazard,se_haz,survival,se_surv,ca,se_ca
0,219,NA,NA,NA,1,0,NA,NA
40,219,0,0,0,1,0,NA,NA
80,219,0,0,0,1,0,NA,NA
120,219,0,0,0,1,0,NA,NA
160,219,0,0,0,1,0,NA,NA
200,219,0,0,0,1,0,NA,NA
240,219,0,0,0,1,0,NA,NA
280,219,7,0.032,0.0119,0.968,0.01189,0.29,0.172
320,212,13,0.061,0.0164,0.909,0.01944,0.77,0.117
360,199,26,0.131,0.0239,0.7899,0.02753,0.92,0.053
400,173,40,0.231,0.032,0.6074,0.033,1,0
440,133,48,0.361,0.0416,0.3881,0.03293,0.98,0.02
480,85,37,0.435,0.0538,0.2193,0.02796,1,0
520,48,32,0.667,0.068,0.073,0.01758,1,0
560,16,9,0.562,0.124,0.032,0.0119,1,0
600,7,4,0.571,0.1871,0.0137,0.00785,1,0
