bin_endpoint,condition,mean,.lower,.upper,.width,odds ratio
240,c500,17.019007069601354,6.259333500431798,29.215684551781276,0.95,24618458.61173761
280,c500,8.485927703822172,3.7064079461604797,13.542499712866551,0.95,4846.091117508482
320,c500,3.9078410704979656,1.876891500844701,6.05263616631934,0.95,49.791339859154114
360,c500,2.1851352985507595,0.6927352578012841,3.748898025494181,0.95,8.891851526614387
400,c500,2.218198516902578,-0.24543744993035846,4.749526450087257,0.95,9.19075894645316
440,c500,2.9074188544754467,-2.5570302937197127,8.540285316592572,0.95,18.309478095335365
480,c500,3.1531844401913904,-8.77302545082957,15.1016907822679,0.95,23.410495330139696
520,c500,1.8558834029724345,-20.126706578257235,26.728723732449026,0.95,6.397347190632231
560,c500,-2.084096128259397,-39.939867032753405,42.412000481709974,0.95,0.1244195286526273
600,c500,-9.766366024582078,-73.16712513695343,61.543093686913416,0.95,5.734837643340276e-5
240,c1000,14.457278133931124,4.944195024299548,26.348363055814154,0.95,1899836.017686241
280,c1000,7.5816318780426,3.205092403452688,12.175362063828373,0.95,1961.8278183493471
320,c1000,3.8038657503503,1.8953386060538515,5.709045035195751,0.95,44.87432255155439
360,c1000,2.02436787977625,0.7214930091130448,3.3470800290259217,0.95,7.5713234449884546
400,c1000,1.143526395242475,-0.9899901054665623,3.1073890445857457,0.95,3.137814050553118
440,c1000,0.061729425671,-4.408097966679241,4.87419019153656,0.95,1.0636745027736056
480,c1000,-2.32063490001615,-12.620956945021893,8.606807933114416,0.95,0.09821121150602745
520,c1000,-7.10317845289695,-27.242108519242503,15.965782927161541,0.95,8.224865295571701e-4
560,c1000,-15.385513104049375,-54.707864982625445,23.5375850590861,0.95,2.080446526569557e-7
600,c1000,-28.2672507245514,-92.95982973862148,35.539818795681,0.95,5.292842755220622e-13
240,c1500,16.118204184534605,3.7443167148798477,29.475164797922424,0.95,10001085.394662667
280,c1500,8.541775574435173,2.779919937740739,14.43485919672265,0.95,5124.435104581051
320,c1500,4.221282682969216,1.7500757420855069,6.702120245520524,0.95,68.1208056719069
360,c1500,2.0571136390587594,0.48301223529660675,3.713303493016018,0.95,7.823356160788838
400,c1500,0.9496565716258282,-1.7479420140085877,3.2634378441452525,0.95,2.5848218057172523
440,c1500,-0.2007003904075531,-6.030512471122624,5.64651705634307,0.95,0.818157522678127
480,c1500,-2.4935691181193596,-15.227048468640689,10.070121750093008,0.95,0.08261457856211774
520,c1500,-7.028561482587565,-30.406457889291264,18.548976723915512,0.95,8.862056864191953e-4
560,c1500,-14.905289354890147,-58.81414314057856,27.20691433853597,0.95,3.3629087405499096e-7
600,c1500,-27.22336460610508,-95.5947179708361,43.50087057643854,0.95,1.5032907068864175e-12
240,i500,-23.340127573721414,-44.42286058888151,-4.865828060637951,0.95,7.303169625647973e-11
280,i500,-10.55111401807678,-17.93068260643581,-3.9448307559279763,0.95,2.6164317104068673e-5
320,i500,-3.7050039742208427,-6.0551087739500895,-1.5087494125771919,0.95,0.024600119601135978
360,i500,-0.9726293381479306,-2.571093792137505,0.5620669844255319,0.95,0.37808760984231465
400,i500,-0.5248220058523678,-2.7539921926898647,1.5494938546312356,0.95,0.5916606671310327
440,i500,-0.5324138733284793,-6.672030149037608,5.860385153948631,0.95,0.5871858652992117
480,i500,0.8337631634294097,-16.410152053247288,20.709037897098398,0.95,2.3019651321686827
520,i500,5.4028772084269745,-32.443888210351574,52.48183425901776,0.95,222.0443659277399
560,i500,15.00409636566989,-58.74888407999938,104.3527024550076,0.95,3282435.9279020345
600,i500,31.466588739163832,-90.2007080285906,190.0847605310866,0.95,46319712352328.76
240,i1000,-21.849425743982625,-43.048011104111715,-4.102983042941019,0.95,3.242761189838948e-10
280,i1000,-9.668956035471238,-16.556870926643505,-3.4596708640693565,0.95,6.321581596736594e-5
320,i1000,-3.1709060841037,-5.22963704052676,-0.9894919062521235,0.95,0.041965556348113955
360,i1000,-0.5261077858743375,-2.033599987555891,0.8851550227522874,0.95,0.5909004105315638
400,i1000,0.094606963222525,-1.8812610344036038,2.1091529972606025,0.95,1.0992267336787356
440,i1000,0.5204062671925624,-5.537020068344211,6.734971973628922,0.95,1.6827111411806237
480,i1000,2.58045823004145,-14.160427939856518,22.534963913954094,0.95,13.203186870568965
520,i1000,8.103930955774862,-28.505779887326135,55.88469624076218,0.95,3307.4439707159477
560,i1000,18.919992548398476,-51.750966413930755,111.95973223672813,0.95,164758701.83904934
600,i1000,36.85781111191796,-89.38698347469334,191.11572024619514,0.95,10165856639901592
240,i1500,-20.511219443883366,-42.94728431745682,-2.4926689207186015,0.95,1.23620523509558e-9
280,i1500,-9.03653650933048,-16.796118570272462,-2.030530108639896,0.95,1.1898221743593561e-4
320,i1500,-2.855237657274643,-5.474067797240867,-0.24878510062280526,0.95,0.05754214418657846
360,i1500,-0.1381547837101806,-1.8149875179406154,1.6677792345263567,0.95,0.8709638702927079
400,i1500,0.9438802153685821,-1.6090597544146323,3.4007189988577786,0.95,2.5699339941535717
440,i1500,2.2200354439673204,-4.966117708173384,9.634158448742284,0.95,9.207657216000108
480,i1500,5.51947900609171,-13.874934735439666,26.566240824398072,0.95,249.505012729939
520,i1500,12.671379005747424,-31.458811043605877,58.41363740579892,0.95,318500.39868360193
560,i1500,25.504903546940138,-53.0764846521336,115.21190644946469,0.95,119299568240.94118
600,i1500,45.84922073367553,-86.60306276346795,200.06338703483664,0.95,8167018967165103e4
